"banda","anos_persona","muertes","tasa_mortalidad","esperanza_vida","esperanza_vida_sin_causa","ganancia_anos"
"0-4",38463,7,0.00018,79.53,79.53,0
"5-9",124265,39,0.00031,74.6,74.6,0
"10-14",198273,100,5e-04,69.71,69.71,0
"15-19",209366,221,0.00106,64.88,64.88,0
"20-24",209497,256,0.00122,60.21,60.21,0
"25-29",198879,238,0.0012,55.56,55.56,0
"30-34",196081,273,0.00139,50.88,50.88,0
"35-39",216794,372,0.00172,46.22,46.22,0
"40-44",247439,473,0.00191,41.6,41.6,0
"45-49",268302,722,0.00269,36.97,36.97,0
"50-54",269998,1035,0.00383,32.44,32.44,0
"55-59",248836,1550,0.00623,28.02,28.02,0
"60-64",211460,1979,0.00936,23.82,23.82,0
"65-69",179994,2550,0.01417,19.85,19.85,0
"70-74",152240,3261,0.02142,16.12,16.12,0
"75-79",123191,4395,0.03568,12.66,12.66,0
"80-84",90456,5733,0.06338,9.65,9.65,0
"85-89",51898,5575,0.10742,7.34,7.34,0
"90+",23971,4061,0.16941,5.9,5.9,0
