"banda","anos_persona","muertes","tasa_mortalidad","esperanza_vida","esperanza_vida_sin_causa","ganancia_anos"
"0-4",37290,4,0.00011,84.35,84.35,0
"5-9",119616,31,0.00026,79.4,79.4,0
"10-14",189898,97,0.00051,74.5,74.5,0
"15-19",198746,176,0.00089,69.68,69.68,0
"20-24",198548,210,0.00106,64.98,64.98,0
"25-29",193577,206,0.00106,60.31,60.31,0
"30-34",199183,267,0.00134,55.62,55.62,0
"35-39",227264,299,0.00132,50.98,50.98,0
"40-44",260729,374,0.00143,46.3,46.3,0
"45-49",282707,533,0.00189,41.61,41.61,0
"50-54",284603,720,0.00253,36.98,36.98,0
"55-59",262559,855,0.00326,32.42,32.42,0
"60-64",226142,969,0.00428,27.91,27.91,0
"65-69",199738,1293,0.00647,23.46,23.46,0
"70-74",176386,1879,0.01065,19.15,19.15,0
"75-79",153135,3015,0.01969,15.06,15.06,0
"80-84",125479,5182,0.0413,11.37,11.37,0
"85-89",84547,6761,0.07997,8.41,8.41,0
"90+",48143,7572,0.15728,6.36,6.36,0
